Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/7/2023,6:00,5.191,-,5.73
8/7/2023,7:00,4.556,-,5.03
8/7/2023,8:00,3.466,-,4
8/7/2023,9:00,2.193,-,2.76
8/7/2023,10:00,1.007,-,1.59
8/7/2023,11:00,0.252,-,0.77
8/7/2023,12:00,0.155,-,0.76
8/7/2023,13:00,0.647,-,1.15
8/7/2023,14:00,1.582,-,2.18
8/7/2023,15:00,2.822,-,3.41
8/7/2023,16:00,4.094,-,4.6
8/7/2023,17:00,5.057,-,5.65
8/7/2023,18:00,5.458,-,6.03
8/7/2023,19:00,5.193,-,5.75
8/7/2023,20:00,4.377,-,4.91
8/7/2023,21:00,3.251,-,3.71
8/7/2023,22:00,2.037,-,2.64
8/7/2023,23:00,1.028,-,1.73
8/8/2023,0:00,0.535,-,1.33
8/8/2023,1:00,0.621,-,1.11
8/8/2023,2:00,1.167,-,1.54
8/8/2023,3:00,2.08,-,2.53
8/8/2023,4:00,3.185,-,3.61
8/8/2023,5:00,4.17,-,4.59
8/8/2023,6:00,4.746,-,5.4
8/8/2023,7:00,4.738,-,5.64
8/8/2023,8:00,4.152,-,4.99
8/8/2023,9:00,3.185,-,4
8/8/2023,10:00,2.061,-,2.96
8/8/2023,11:00,1.023,-,1.76
8/8/2023,12:00,0.409,-,1.15
8/8/2023,13:00,0.403,-,1.09
8/8/2023,14:00,0.917,-,1.63
8/8/2023,15:00,1.828,-,2.45
8/8/2023,16:00,3.006,-,3.43
8/8/2023,17:00,4.182,-,4.59
8/8/2023,18:00,5.049,-,5.48
8/8/2023,19:00,5.392,-,5.76
8/8/2023,20:00,5.129,-,5.52
8/8/2023,21:00,4.378,-,4.72
8/8/2023,22:00,3.338,-,3.57
8/8/2023,23:00,2.197,-,2.59
8/9/2023,0:00,1.246,-,1.6
8/9/2023,1:00,0.773,-,1.27
8/9/2023,2:00,0.809,-,1.32
8/9/2023,3:00,1.255,-,1.88
8/9/2023,4:00,2.047,-,2.67
8/9/2023,5:00,3.019,-,3.59
8/9/2023,6:00,3.883,-,4.44
8/9/2023,7:00,4.388,-,4.77
8/9/2023,8:00,4.376,-,4.67
8/9/2023,9:00,3.861,-,4.1
8/9/2023,10:00,3.013,-,3.1
8/9/2023,11:00,2.009,-,2.15
8/9/2023,12:00,1.087,-,1.17
8/9/2023,13:00,0.578,-,0.69
8/9/2023,14:00,0.626,-,0.78
8/9/2023,15:00,1.136,-,1.35
8/9/2023,16:00,2.009,-,2.15
8/9/2023,17:00,3.122,-,3.26
8/9/2023,18:00,4.216,-,4.33
8/9/2023,19:00,5.016,-,5.29
8/9/2023,20:00,5.328,-,5.69
8/9/2023,21:00,5.084,-,5.29
8/9/2023,22:00,4.393,-,4.45
8/9/2023,23:00,3.415,-,3.51
8/10/2023,0:00,2.321,-,2.55
8/10/2023,1:00,1.409,-,1.61
8/10/2023,2:00,0.94,-,1.2
8/10/2023,3:00,0.924,-,1.16
8/10/2023,4:00,1.287,-,1.6
8/10/2023,5:00,1.989,-,2.32
8/10/2023,6:00,2.87,-,3.29
8/10/2023,7:00,3.663,-,4.07
8/10/2023,8:00,4.138,-,4.63
8/10/2023,9:00,4.144,-,4.7
8/10/2023,10:00,3.693,-,4.2
8/10/2023,11:00,2.929,-,3.43
8/10/2023,12:00,2,-,2.59
8/10/2023,13:00,1.154,-,1.79
8/10/2023,14:00,0.715,-,1.32
8/10/2023,15:00,0.79,-,1.39
8/10/2023,16:00,1.285,-,1.93
8/10/2023,17:00,2.128,-,2.74
8/10/2023,18:00,3.198,-,3.89
8/10/2023,19:00,4.24,-,5
8/10/2023,20:00,5.002,-,5.61
8/10/2023,21:00,5.296,-,5.73
8/10/2023,22:00,5.063,-,5.49
8/10/2023,23:00,4.404,-,4.82
8/11/2023,0:00,3.451,-,3.78
8/11/2023,1:00,2.373,-,2.93
8/11/2023,2:00,1.482,-,1.81
8/11/2023,3:00,1.013,-,1.16
8/11/2023,4:00,0.96,-,1.32
8/11/2023,5:00,1.278,-,2.01
8/11/2023,6:00,1.943,-,2.49
8/11/2023,7:00,2.788,-,3.35
8/11/2023,8:00,3.558,-,4.09
8/11/2023,9:00,4.026,-,4.71
8/11/2023,10:00,4.043,-,4.74
8/11/2023,11:00,3.624,-,4.3
8/11/2023,12:00,2.893,-,3.46
8/11/2023,13:00,1.988,-,2.73
8/11/2023,14:00,1.18,-,1.93
8/11/2023,15:00,0.784,-,1.46
8/11/2023,16:00,0.877,-,1.46
8/11/2023,17:00,1.372,-,1.94
8/11/2023,18:00,2.216,-,2.75
8/11/2023,19:00,3.28,-,3.85
8/11/2023,20:00,4.304,-,4.86
8/11/2023,21:00,5.042,-,5.63
8/11/2023,22:00,5.311,-,5.87
8/11/2023,23:00,5.059,-,5.62
8/12/2023,0:00,4.387,-,4.74
8/12/2023,1:00,3.412,-,3.76
