Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/28/2023,10:00,4.395,-,5.19
8/28/2023,11:00,4.452,-,5.33
8/28/2023,12:00,3.94,-,4.87
8/28/2023,13:00,3.022,-,3.98
8/28/2023,14:00,1.952,-,2.81
8/28/2023,15:00,0.966,-,1.76
8/28/2023,16:00,0.368,-,1.14
8/28/2023,17:00,0.409,-,1.26
8/28/2023,18:00,1.039,-,1.8
8/28/2023,19:00,2.068,-,2.86
8/28/2023,20:00,3.351,-,4.15
8/28/2023,21:00,4.657,-,5.47
8/28/2023,22:00,5.659,-,6.53
8/28/2023,23:00,6.088,-,7.11
8/29/2023,0:00,5.804,-,6.81
8/29/2023,1:00,4.882,-,5.86
8/29/2023,2:00,3.586,-,4.53
8/29/2023,3:00,2.192,-,3.12
8/29/2023,4:00,1.009,-,1.78
8/29/2023,5:00,0.38,-,1.02
8/29/2023,6:00,0.415,-,0.98
8/29/2023,7:00,0.965,-,1.52
8/29/2023,8:00,1.887,-,2.49
8/29/2023,9:00,3.022,-,3.77
8/29/2023,10:00,4.077,-,4.92
8/29/2023,11:00,4.742,-,5.64
8/29/2023,12:00,4.802,-,5.73
8/29/2023,13:00,4.211,-,5.22
8/29/2023,14:00,3.153,-,4.05
8/29/2023,15:00,1.91,-,2.74
8/29/2023,16:00,0.768,-,1.53
8/29/2023,17:00,0.092,-,0.79
8/29/2023,18:00,0.132,-,0.91
8/29/2023,19:00,0.814,-,1.55
8/29/2023,20:00,1.953,-,2.66
8/29/2023,21:00,3.385,-,4.08
8/29/2023,22:00,4.826,-,5.55
8/29/2023,23:00,5.912,-,6.83
8/30/2023,0:00,6.347,-,7.29
8/30/2023,1:00,5.985,-,6.92
8/30/2023,2:00,4.93,-,5.88
8/30/2023,3:00,3.475,-,4.39
8/30/2023,4:00,1.933,-,2.88
8/30/2023,5:00,0.675,-,1.54
8/30/2023,6:00,0.067,-,0.7
8/30/2023,7:00,0.185,-,0.74
8/30/2023,8:00,0.867,-,1.4
8/30/2023,9:00,1.963,-,2.53
8/30/2023,10:00,3.269,-,3.93
8/30/2023,11:00,4.442,-,5.11
8/30/2023,12:00,5.145,-,5.95
8/30/2023,13:00,5.149,-,6.01
8/30/2023,14:00,4.428,-,5.29
8/30/2023,15:00,3.208,-,4.15
8/30/2023,16:00,1.798,-,2.55
8/30/2023,17:00,0.54,-,1.19
8/30/2023,18:00,-0.161,-,0.32
8/30/2023,19:00,-0.079,-,0.41
8/30/2023,20:00,0.68,-,1.06
8/30/2023,21:00,1.93,-,2.33
8/30/2023,22:00,3.483,-,3.96
8/30/2023,23:00,5.008,-,5.55
8/31/2023,0:00,6.111,-,6.77
8/31/2023,1:00,6.485,-,7.28
8/31/2023,2:00,5.999,-,6.73
8/31/2023,3:00,4.797,-,5.61
8/31/2023,4:00,3.208,-,4.01
8/31/2023,5:00,1.582,-,2.35
8/31/2023,6:00,0.336,-,0.97
8/31/2023,7:00,-0.173,-,0.27
8/31/2023,8:00,0.082,-,0.51
8/31/2023,9:00,0.922,-,1.4
8/31/2023,10:00,2.187,-,2.64
8/31/2023,11:00,3.625,-,4.1
8/31/2023,12:00,4.857,-,5.53
8/31/2023,13:00,5.53,-,6.32
8/31/2023,14:00,5.421,-,6.4
8/31/2023,15:00,4.546,-,5.6
8/31/2023,16:00,3.174,-,4.46
8/31/2023,17:00,1.647,-,3.05
8/31/2023,18:00,0.342,-,1.76
8/31/2023,19:00,-0.321,-,0.88
8/31/2023,20:00,-0.165,-,0.96
8/31/2023,21:00,0.67,-,1.72
8/31/2023,22:00,2.001,-,2.9
8/31/2023,23:00,3.616,-,4.4
